_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,ask_question_here,ask_question_here:confidence,q1_identify_the_term_that_is_associated_with_the_most_amount_of_positive_sentiment_or_least_amount_of_negative_sentiment,q1_identify_the_term_that_is_associated_with_the_most_amount_of_positive_sentiment_or_least_amount_of_negative_sentiment:confidence,q2_identify_the_term_that_is_associated_with_the_most_amount_of_negative_sentiment_or_least_amount_of_positive_sentiment,q2_identify_the_term_that_is_associated_with_the_most_amount_of_negative_sentiment_or_least_amount_of_positive_sentiment:confidence,_created_at,orig__golden,orig__unit_id,_updated_at,orig_q1_identify_the_term_that_is_associated_with_the_most_amount_of_positive_sentiment_or_least_amount_of_negative_sentiment,q1_identify_the_term_that_is_associated_with_the_most_amount_of_positive_sentiment_or_least_amount_of_negative_sentiment_gold,q1_identify_the_term_that_is_associated_with_the_most_amount_of_positive_sentiment_or_least_amount_of_negative_sentiment_gold_reason,orig_q2_identify_the_term_that_is_associated_with_the_most_amount_of_negative_sentiment_or_least_amount_of_positive_sentiment,q2_identify_the_term_that_is_associated_with_the_most_amount_of_negative_sentiment_or_least_amount_of_positive_sentiment_gold,q2_identify_the_term_that_is_associated_with_the_most_amount_of_negative_sentiment_or_least_amount_of_positive_sentiment_gold_reason,w1,w2,w3,w4
802936450,false,finalized,8,10/8/2015 00:51:28,,,hidden gems,0.8845,dread,0.503,9/25/2015 13:39:10,,796448577,9/29/2015 02:34:37,,,,,,,hidden gems,fake,mystery solved,dread
802936451,false,finalized,8,10/7/2015 15:40:09,,,so freaking cute,1.0,hate,0.8704,9/25/2015 13:39:10,,796448578,9/29/2015 02:34:37,,,,,,,hate,so freaking cute,bout to jump,paranoid
802936452,false,finalized,8,10/8/2015 04:18:45,,,wear,1.0,great shame,0.744,9/25/2015 13:39:10,,796448579,9/29/2015 02:34:37,,,,,,,wear,late,great shame,need a doctor
802936453,false,finalized,8,10/7/2015 04:43:52,,,pushed back,0.8791,bedbugs,0.8709,9/25/2015 13:39:10,,796448580,9/29/2015 02:34:37,,,,,,,pushed back,back is sore,bedbugs,need to rest
802936454,false,finalized,8,10/7/2015 13:56:15,,,perfect spot,1.0,back in hospital,1.0,9/25/2015 13:39:10,,796448581,9/29/2015 02:34:37,,,,,,,chilly morning,perfect spot,back in hospital,lounge
802936455,false,finalized,8,10/8/2015 04:38:59,,,don't even mind,0.646,bad score,0.7404,9/25/2015 13:39:10,,796448582,9/29/2015 02:34:37,,,,,,,bad score,don't even mind,sinks,nice try though
802936456,false,finalized,8,10/8/2015 03:50:03,,,back from hospital,0.8988,hopeless,0.5092,9/25/2015 13:39:10,,796448583,9/29/2015 02:34:37,,,,,,,back from hospital,shoot,hurts,hopeless
802936457,false,finalized,8,10/8/2015 14:24:13,,,stress free,0.8732,just so sad,1.0,9/25/2015 13:39:10,,796448584,9/29/2015 02:34:37,,,,,,,just so sad,stress free,lemon,cut
802936458,false,finalized,8,10/8/2015 12:52:05,,,necessarily,0.6227,garbage,0.7391,9/25/2015 13:39:10,,796448585,9/29/2015 02:34:37,,,,,,,garbage,necessarily,like a donkey,late nap
802936459,false,finalized,8,10/7/2015 18:15:31,,,dead good,0.8879,busy,0.5126,9/25/2015 13:39:10,,796448586,9/29/2015 02:34:37,,,,,,,card,busy,barely,dead good
802936460,false,finalized,8,10/7/2015 20:31:40,,,school,0.5024,bullshit,1.0,9/25/2015 13:39:10,,796448587,9/29/2015 02:34:37,,,,,,,school,bullshit,crooked,nite
802936461,false,finalized,8,10/7/2015 17:33:27,,,cute,0.8798,super headache,0.8667,9/25/2015 13:39:10,,796448588,9/29/2015 02:34:37,,,,,,,cute,helps,hit us back,super headache
802936462,false,finalized,8,10/7/2015 18:07:24,,,so unbelievable happy,0.8722,my friends suck,1.0,9/25/2015 13:39:10,,796448589,9/29/2015 02:34:37,,,,,,,my friends suck,money well spent,mild headache,so unbelievable happy
802936463,false,finalized,8,10/7/2015 17:44:37,,,nice try,0.6129,dreading,1.0,9/25/2015 13:39:10,,796448590,9/29/2015 02:34:37,,,,,,,nice try,dreading,game,beauty is pain
802936464,false,finalized,8,10/8/2015 00:51:28,,,the festive break,0.8823,couldn't care less,1.0,9/25/2015 13:39:10,,796448591,9/29/2015 02:34:37,,,,,,,the festive break,cherry,couldn't care less,seriously
802936465,false,finalized,8,10/8/2015 01:05:37,,,king of pop,0.7539,poor effort,1.0,9/25/2015 13:39:10,,796448592,9/29/2015 02:34:37,,,,,,,king of pop,nose,reserve,poor effort
802936466,false,finalized,8,10/7/2015 21:39:49,,,expect nothing less,0.5099,truly missed,0.6324,9/25/2015 13:39:10,,796448593,9/29/2015 02:34:37,,,,,,,expect nothing less,need more info,truly missed,#fridayfuel
802936467,false,finalized,8,10/7/2015 15:45:04,,,wise,0.75,kind of crazy,0.6197,9/25/2015 13:39:10,,796448594,9/29/2015 02:34:37,,,,,,,kind of crazy,invisible,donated blood,wise
802936468,false,finalized,8,10/8/2015 14:20:08,,,sing with braces,0.6213,absolute no,1.0,9/25/2015 13:39:10,,796448595,9/29/2015 02:34:37,,,,,,,sing with braces,wasnt real,needed,absolute no
802936469,false,finalized,8,10/8/2015 04:19:34,,,spa,0.5069,just hang in,0.5069,9/25/2015 13:39:10,,796448596,9/29/2015 02:34:37,,,,,,,usual,cancer foundation,just hang in,spa
802936470,false,finalized,8,10/8/2015 13:57:24,,,wear your smile,0.6186,devil,1.0,9/25/2015 13:39:10,,796448597,9/29/2015 02:34:37,,,,,,,can die happy,devil,highly doubt,wear your smile
802936471,false,finalized,8,10/7/2015 17:54:14,,,overflow with #love,1.0,feeling like shit,0.8879,9/25/2015 13:39:10,,796448598,9/29/2015 02:34:37,,,,,,,overflow with #love,feeling like shit,suck,hurricane
802936472,false,finalized,8,10/7/2015 17:51:29,,,liked,0.75,friends left me,1.0,9/25/2015 13:39:10,,796448599,9/29/2015 02:34:37,,,,,,,real,liked,a nose job,friends left me
802936473,false,finalized,8,10/7/2015 17:52:56,,,dead sexy,1.0,boring,0.6338,9/25/2015 13:39:10,,796448600,9/29/2015 02:34:37,,,,,,,dead sexy,boring,slip,major case
802936474,false,finalized,8,10/7/2015 15:45:04,,,ego boost,0.8777,beer,0.5062,9/25/2015 13:39:10,,796448601,9/29/2015 02:34:37,,,,,,,console,ego boost,rest,beer
802936475,false,finalized,8,10/8/2015 14:18:03,,,a little vacation,0.5007,sick,0.8896,9/25/2015 13:39:10,,796448602,9/29/2015 02:34:37,,,,,,,a little vacation,absolutely,sick,fashionably late
802936476,false,finalized,8,10/7/2015 11:16:05,,,sexy,1.0,my heart hurts,1.0,9/25/2015 13:39:10,,796448603,9/29/2015 02:34:37,,,,,,,emotional,my heart hurts,postcode,sexy
802936477,false,finalized,8,10/7/2015 21:29:25,,,motivation,1.0,fussy baby,0.5044,9/25/2015 13:39:10,,796448604,9/29/2015 02:34:37,,,,,,,fussy baby,homeless,like i'm crazy,motivation
802936478,false,finalized,8,10/7/2015 21:41:35,,,want,0.6334,depressed,1.0,9/25/2015 13:39:10,,796448605,9/29/2015 02:34:37,,,,,,,depressed,want,wasn't even drunk,drama
802936479,false,finalized,8,10/7/2015 20:27:26,,,pet,0.7466,still won't work,1.0,9/25/2015 13:39:10,,796448606,9/29/2015 02:34:37,,,,,,,anymore,soft copy,still won't work,pet
802936480,false,finalized,8,10/7/2015 21:46:40,,,greatest,1.0,low back,1.0,9/25/2015 13:39:10,,796448607,9/29/2015 02:34:37,,,,,,,low back,fits,long hug,greatest
802936481,false,finalized,8,10/8/2015 03:25:13,,,lost then found,0.6529,you're just jealous,1.0,9/25/2015 13:39:10,,796448608,9/29/2015 02:34:37,,,,,,,you're just jealous,lost then found,following,little drive
802936482,false,finalized,8,10/7/2015 04:56:01,,,luv ya too,1.0,i might cry,1.0,9/25/2015 13:39:10,,796448609,9/29/2015 02:34:37,,,,,,,way too hot,luv ya too,goes,i might cry
802936483,false,finalized,8,10/7/2015 06:56:37,,,warm and fuzzy,0.7499,sadly enough,0.7569,9/25/2015 13:39:10,,796448610,9/29/2015 02:34:37,,,,,,,eternal peace,traffic,sadly enough,warm and fuzzy
802936484,false,finalized,8,10/7/2015 17:37:25,,,realise your dreams,1.0,heart is broken,1.0,9/25/2015 13:39:10,,796448611,9/29/2015 02:34:37,,,,,,,heart is broken,realise your dreams,soft,job
802936485,false,finalized,8,10/7/2015 13:46:01,,,sure,0.8812,bleeds,1.0,9/25/2015 13:39:10,,796448612,9/29/2015 02:34:37,,,,,,,black coffee,way too warm,bleeds,sure
802936486,false,finalized,8,10/7/2015 14:38:01,,,ridiculously excited,0.8705,emotional attachment,0.6168,9/25/2015 13:39:10,,796448613,9/29/2015 02:34:37,,,,,,,emotional attachment,weekends,ridiculously excited,glad
802936487,false,finalized,8,10/8/2015 03:21:28,,,just couldn't resist,0.6357,messed,0.5037,9/25/2015 13:39:10,,796448614,9/29/2015 02:34:37,,,,,,,messed,pick me plssss,concern,just couldn't resist
802936488,false,finalized,8,10/8/2015 12:58:56,,,beautiful,1.0,died,1.0,9/25/2015 13:39:10,,796448615,9/29/2015 02:34:37,,,,,,,died,beautiful,shopping with mum,nervous
802936489,false,finalized,8,10/7/2015 18:19:56,,,hilarious,0.7606,breakfast,0.6379,9/25/2015 13:39:10,,796448616,9/29/2015 02:34:37,,,,,,,hilarious,fathers,heart,breakfast
802936490,false,finalized,8,10/8/2015 11:29:27,,,long rest,0.6222,sadly,1.0,9/25/2015 13:39:10,,796448617,9/29/2015 02:34:37,,,,,,,long rest,sadly,credit,pick
802936491,false,finalized,8,10/8/2015 02:52:56,,,unbelievably good,0.8876,player,1.0,9/25/2015 13:39:10,,796448618,9/29/2015 02:34:37,,,,,,,unbelievably good,good,vacation,player
802936492,false,finalized,8,10/8/2015 14:42:38,,,romantic,1.0,a bad deal,0.6632,9/25/2015 13:39:10,,796448619,9/29/2015 02:34:37,,,,,,,ridiculously,honey and lemon,romantic,a bad deal
802936493,false,finalized,8,10/8/2015 08:31:39,,,day,0.9016,snot,0.8706,9/25/2015 13:39:10,,796448620,9/29/2015 02:34:37,,,,,,,free fall,day,stress level,snot
802936494,false,finalized,8,10/7/2015 04:56:01,,,a little motivation,0.6138,full,0.7447,9/25/2015 13:39:10,,796448621,9/29/2015 02:34:37,,,,,,,football,full,a little motivation,fast
802936495,false,finalized,8,10/8/2015 15:27:41,,,treasure spot,0.7508,#sad,0.7407,9/25/2015 13:39:10,,796448622,9/29/2015 02:34:37,,,,,,,treasure spot,#sad,brighter,worth dying
802936496,false,finalized,8,10/8/2015 03:44:33,,,major subject,0.5243,freudian slip,0.4764,9/25/2015 13:39:10,,796448623,9/29/2015 02:34:37,,,,,,,major subject,continue to fight,public restrooms,freudian slip
802936497,false,finalized,8,10/7/2015 03:19:40,,,drama free,0.7643,unusable,0.8836,9/25/2015 13:39:10,,796448624,9/29/2015 02:34:37,,,,,,,drama free,unusable,main,quiz
802936498,false,finalized,8,10/7/2015 11:55:33,,,definitely,1.0,bloody work,0.8699,9/25/2015 13:39:10,,796448625,9/29/2015 02:34:37,,,,,,,bloody work,just looks wrong,definitely,director's cut
802936499,false,finalized,8,10/7/2015 17:28:03,,,care,1.0,stolen,0.6354,9/25/2015 13:39:10,,796448626,9/29/2015 02:34:37,,,,,,,stolen,gun,care,shuttle
802936500,false,finalized,8,10/7/2015 21:13:39,,,peace,1.0,full issue,0.8687,9/25/2015 13:39:10,,796448627,9/29/2015 02:34:37,,,,,,,full issue,call,black cherry,peace
802936501,false,finalized,8,10/8/2015 14:15:14,,,seriously great,1.0,hit,0.5012,9/25/2015 13:39:10,,796448628,9/29/2015 02:34:37,,,,,,,cable stopped working,hit,work late,seriously great
802936502,false,finalized,8,10/7/2015 15:47:32,,,trying,0.7494,#dog #cruelty,0.8716,9/25/2015 13:39:10,,796448629,9/29/2015 02:34:37,,,,,,,trying,#dog #cruelty,nuclear,overflow
802936503,false,finalized,8,10/8/2015 10:10:12,,,friends,1.0,badly,1.0,9/25/2015 13:39:10,,796448630,9/29/2015 02:34:37,,,,,,,badly,friends,nice cold beer,stroll down
802936504,false,finalized,8,10/7/2015 03:39:26,,,laughing,1.0,looks,1.0,9/25/2015 13:39:10,,796448631,9/29/2015 02:34:37,,,,,,,laughing,looks,super long hair,trying new things
802936505,false,finalized,8,10/7/2015 19:12:47,,,freaking cool,0.6204,disaster,1.0,9/25/2015 13:39:10,,796448632,9/29/2015 02:34:37,,,,,,,disaster,freaking cool,worth the wait,dearly
802936506,false,finalized,8,10/7/2015 17:39:04,,,good slap,0.5035,death,1.0,9/25/2015 13:39:10,,796448633,9/29/2015 02:34:37,,,,,,,good slap,back down south,deep,death
802936507,false,finalized,8,10/8/2015 00:04:23,,,words of wisdom,0.7441,fighting,0.7493,9/25/2015 13:39:10,,796448634,9/29/2015 02:34:37,,,,,,,fighting,words of wisdom,little grunt,honey
802936508,false,finalized,8,10/7/2015 15:30:11,,,tooth,1.0,doesn't feel good,0.4952,9/25/2015 13:39:10,,796448635,9/29/2015 02:34:37,,,,,,,protest,tooth,doesn't feel good,addict
802936509,false,finalized,8,10/7/2015 17:35:16,,,luck,0.7477,couldnt afford,0.8771,9/25/2015 13:39:10,,796448636,9/29/2015 02:34:37,,,,,,,luck,couldnt afford,deserved,computer just froze
802936510,false,finalized,8,10/7/2015 17:30:32,,,expect,0.6216,breaking,1.0,9/25/2015 13:39:10,,796448637,9/29/2015 02:34:37,,,,,,,due,expect,breaking,worth fighting
802936511,false,finalized,8,10/7/2015 18:43:39,,,fucking love it,1.0,attack,1.0,9/25/2015 13:39:10,,796448638,9/29/2015 02:34:37,,,,,,,late christmas presents,attack,ur hard work,fucking love it
802936512,false,finalized,8,10/7/2015 05:05:39,,,settle,0.5082,other,0.3768,9/25/2015 13:39:10,,796448639,9/29/2015 02:34:37,,,,,,,settle,longer,other,plssss
802936513,false,finalized,8,10/7/2015 17:31:09,,,tired but happy,0.8765,rail,0.5012,9/25/2015 13:39:10,,796448640,9/29/2015 02:34:37,,,,,,,record,rail,tired but happy,info
802936514,false,finalized,8,10/7/2015 04:39:51,,,enjoying the rain,0.877,scary,0.7499,9/25/2015 13:39:10,,796448641,9/29/2015 02:34:37,,,,,,,star,scary,enjoying the rain,losing interest
802936515,false,finalized,8,10/8/2015 03:21:57,,,eternal happiness,1.0,absolute agony,0.8909,9/25/2015 13:39:10,,796448642,9/29/2015 02:34:37,,,,,,,eternal happiness,fake friends,absolute agony,continue
802936516,false,finalized,8,10/7/2015 20:24:14,,,cross my heart,1.0,stinking,0.6362,9/25/2015 13:39:10,,796448643,9/29/2015 02:34:37,,,,,,,issue,stinking,dental work,cross my heart
802936517,false,finalized,8,10/7/2015 13:52:16,,,live,0.7508,never,1.0,9/25/2015 13:39:10,,796448644,9/29/2015 02:34:37,,,,,,,live,year,never,spent the afternoon
802936518,false,finalized,8,10/7/2015 17:36:52,,,absolute blast,0.8704,committed suicide,1.0,9/25/2015 13:39:10,,796448645,9/29/2015 02:34:37,,,,,,,absolute blast,holiday madness,committed suicide,#finallyinthehotel #exhausted
802936519,false,finalized,8,10/7/2015 17:35:46,,,flying,0.8699,need my friends,0.62,9/25/2015 13:39:10,,796448646,9/29/2015 02:34:37,,,,,,,need my friends,poker,author unknown,flying
802936520,false,finalized,8,10/8/2015 13:29:20,,,gold,0.7573,scary dream,0.8743,9/25/2015 13:39:10,,796448647,9/29/2015 02:34:37,,,,,,,darn,gold,scary dream,twitterworld
802936521,false,finalized,8,10/7/2015 17:38:59,,,study break,1.0,hurting,0.7549,9/25/2015 13:39:10,,796448648,9/29/2015 02:34:37,,,,,,,study break,bad sun,hurting,traffic court
802936522,false,finalized,8,10/8/2015 03:43:16,,,love long weekends,1.0,slap,0.7363,9/25/2015 13:39:10,,796448649,9/29/2015 02:34:37,,,,,,,let's forget,love long weekends,debris,slap
802936523,false,finalized,8,10/8/2015 15:19:02,,,loud and clear,0.7303,truly hate,0.7245,9/25/2015 13:39:10,,796448650,9/29/2015 02:34:37,,,,,,,loud and clear,zombie,truly hate,#dog
802936524,false,finalized,8,10/7/2015 22:03:41,,,debt free,0.8685,refuse responsibility,1.0,9/25/2015 13:39:10,,796448651,9/29/2015 02:34:37,,,,,,,barely afford,debt free,refuse responsibility,giant chocolate bar
802936525,false,finalized,8,10/8/2015 10:11:38,,,great words,0.6355,abandoned,0.6551,9/25/2015 13:39:10,,796448652,9/29/2015 02:34:37,,,,,,,wisdom,great words,really bad dream,abandoned
802936526,false,finalized,8,10/8/2015 03:23:04,,,little joy,0.8649,like a villain,0.8713,9/25/2015 13:39:10,,796448653,9/29/2015 02:34:37,,,,,,,like a villain,little joy,just,tiny dancer
802936527,false,finalized,8,10/7/2015 18:42:17,,,close,0.7527,headache is back,0.6179,9/25/2015 13:39:10,,796448654,9/29/2015 02:34:37,,,,,,,headache is back,won't even bother,close,please im begging
802936528,false,finalized,8,10/8/2015 14:15:14,,,love being alone,1.0,having major issues,0.8635,9/25/2015 13:39:10,,796448655,9/29/2015 02:34:37,,,,,,,missing,love being alone,having major issues,refund
802936529,false,finalized,8,10/7/2015 22:46:42,,,life,0.7474,just died,1.0,9/25/2015 13:39:10,,796448656,9/29/2015 02:34:37,,,,,,,life,rules,stroll,just died
802936530,false,finalized,8,10/7/2015 17:33:11,,,bright moon,1.0,pretty grim,1.0,9/25/2015 13:39:10,,796448657,9/29/2015 02:34:37,,,,,,,pretty grim,hard to like,hospital visit,bright moon
802936531,false,finalized,8,10/7/2015 23:42:57,,,nice break,0.6261,completely messed,0.8834,9/25/2015 13:39:10,,796448658,9/29/2015 02:34:37,,,,,,,lucky devil,completely messed,nice break,willing
802936532,false,finalized,8,10/7/2015 17:39:04,,,laughing my ass,0.7621,overload,1.0,9/25/2015 13:39:10,,796448659,9/29/2015 02:34:37,,,,,,,prince,overload,laughing my ass,shuttle launch
802936733,false,finalized,8,10/8/2015 14:12:07,,,awesome fictional weapons,0.7427,proven guilty,1.0,9/25/2015 13:39:10,,796448660,9/29/2015 02:34:37,,,,,,,awesome fictional weapons,funky music,rear view,proven guilty
802936734,false,finalized,8,10/7/2015 11:44:00,,,tire,0.8657,hurt like crazy,0.7511,9/25/2015 13:39:10,,796448661,9/29/2015 02:34:37,,,,,,,tire,doubt,fight,hurt like crazy
802936735,false,finalized,8,10/7/2015 17:30:22,,,fell,0.5124,real disaster,0.8734,9/25/2015 13:39:10,,796448662,9/29/2015 02:34:37,,,,,,,#exhausted,fell,real disaster,rude
802936736,false,finalized,8,10/7/2015 11:53:09,,,transport,0.7436,curse word,0.4944,9/25/2015 13:39:10,,796448663,9/29/2015 02:34:37,,,,,,,sore,curse word,transport,sadly yes
802936737,false,finalized,8,10/8/2015 08:28:04,,,gorgeous,0.8723,fair,0.5219,9/25/2015 13:39:10,,796448664,9/29/2015 02:34:37,,,,,,,gorgeous,bout yourself,fair,dream
802936738,false,finalized,8,10/7/2015 18:36:36,,,smiling,1.0,miss the sun,1.0,9/25/2015 13:39:10,,796448665,9/29/2015 02:34:37,,,,,,,management,gown,smiling,miss the sun
802936739,false,finalized,8,10/7/2015 22:26:16,,,smells like summer,0.5178,heart pain,1.0,9/25/2015 13:39:10,,796448666,9/29/2015 02:34:37,,,,,,,heart pain,smells like summer,open mind,didnt even call
802936740,false,finalized,8,10/7/2015 19:39:23,,,smell the roses,1.0,gross,0.6346,9/25/2015 13:39:10,,796448667,9/29/2015 02:34:37,,,,,,,cry,really sore back,gross,smell the roses
802936741,false,finalized,8,10/7/2015 14:23:51,,,romance,1.0,full of bullshit,0.871,9/25/2015 13:39:10,,796448668,9/29/2015 02:34:37,,,,,,,looked,alone,full of bullshit,romance
802936742,false,finalized,8,10/7/2015 21:34:56,,,hug,1.0,you're broke,0.7444,9/25/2015 13:39:10,,796448669,9/29/2015 02:34:37,,,,,,,headache,hug,you're broke,slow
802936743,false,finalized,8,10/7/2015 19:16:52,,,powerful force,1.0,phone just died,0.8779,9/25/2015 13:39:10,,796448670,9/29/2015 02:34:37,,,,,,,phone just died,no new messages,powerful force,froze
802936744,false,finalized,8,10/7/2015 11:40:03,,,late night dinner,0.51,worry,1.0,9/25/2015 13:39:10,,796448671,9/29/2015 02:34:37,,,,,,,news,late night dinner,need some #fridayfuel,worry
802936745,false,finalized,8,10/7/2015 11:59:13,,,achievement,1.0,feeling pretty sick,0.8755,9/25/2015 13:39:10,,796448672,9/29/2015 02:34:37,,,,,,,feeling pretty sick,store,achievement,disagree
802936746,false,finalized,8,10/7/2015 19:12:47,,,tried my best,0.6299,hang,0.5088,9/25/2015 13:39:10,,796448673,9/29/2015 02:34:37,,,,,,,long but productive,tried my best,crush,hang
802936747,false,finalized,8,10/7/2015 11:22:07,,,serious,0.7546,agony,1.0,9/25/2015 13:39:10,,796448674,9/29/2015 02:34:37,,,,,,,wont work,agony,serious,just said goodbye
802936748,false,finalized,8,10/7/2015 21:37:27,,,awesome as hell,0.8754,smart ass,0.6346,9/25/2015 13:39:10,,796448675,9/29/2015 02:34:37,,,,,,,honestly,smart ass,awesome as hell,spoiler
802936749,false,finalized,8,10/8/2015 03:32:59,,,close friends,0.8975,pretty disappointing,1.0,9/25/2015 13:39:10,,796448676,9/29/2015 02:34:37,,,,,,,eat my words,pretty disappointing,new reality,close friends
802936750,false,finalized,8,10/7/2015 23:43:17,,,sweetheart,0.74,mean,1.0,9/25/2015 13:39:10,,796448677,9/29/2015 02:34:37,,,,,,,sweetheart,stopped,talented,mean
802936751,false,finalized,8,10/8/2015 14:44:58,,,long lost friends,0.658,just got dumped,0.6377,9/25/2015 13:39:10,,796448678,9/29/2015 02:34:37,,,,,,,fussy,just got dumped,trying to recover,long lost friends
802936752,false,finalized,8,10/8/2015 04:19:34,,,cool game,1.0,year passed by,0.8998,9/25/2015 13:39:10,,796448679,9/29/2015 02:34:37,,,,,,,tea,adapter,year passed by,cool game
802936753,false,finalized,8,10/7/2015 17:43:22,,,rocks,0.6246,lost my money,0.8769,9/25/2015 13:39:10,,796448680,9/29/2015 02:34:37,,,,,,,fictional,rocks,barely moving,lost my money
802936754,false,finalized,8,10/7/2015 23:59:08,,,indeed,0.3774,failed,1.0,9/25/2015 13:39:10,,796448681,9/29/2015 02:34:37,,,,,,,service,failed,indeed,king
802936755,false,finalized,8,10/7/2015 20:51:58,,,amazing,1.0,broke,0.8737,9/25/2015 13:39:10,,796448682,9/29/2015 02:34:37,,,,,,,white lies,computer,amazing,broke
802936756,false,finalized,8,10/8/2015 04:19:34,,,professional,0.7512,work issues,1.0,9/25/2015 13:39:10,,796448683,9/29/2015 02:34:37,,,,,,,professional,work issues,green,liquor
802936757,false,finalized,8,10/8/2015 14:30:47,,,super chill,0.3849,no better way,0.39,9/25/2015 13:39:10,,796448684,9/29/2015 02:34:37,,,,,,,#wantit,super chill,excited but nervous,no better way
802936758,false,finalized,8,10/8/2015 03:21:57,,,promises,1.0,sick of working,0.7518,9/25/2015 13:39:10,,796448685,9/29/2015 02:34:37,,,,,,,promises,sick of working,teething baby,night
802936759,false,finalized,8,10/7/2015 17:37:21,,,authentic,0.5057,willing to try,0.7595,9/25/2015 13:39:10,,796448686,9/29/2015 02:34:37,,,,,,,willing to try,tiny and gorgeous,ups,authentic
802936760,false,finalized,8,10/8/2015 14:48:57,,,presents,1.0,still doesn't work,1.0,9/25/2015 13:39:10,,796448687,9/29/2015 02:34:37,,,,,,,presents,still doesn't work,sososo,alot
802936761,false,finalized,8,10/7/2015 23:19:08,,,free,1.0,loner,0.7646,9/25/2015 13:39:10,,796448688,9/29/2015 02:34:37,,,,,,,bite,free,loner,forget to smile
802936762,false,finalized,8,10/8/2015 03:18:57,,,ready,0.7816,even sadder,1.0,9/25/2015 13:39:10,,796448689,9/29/2015 02:34:37,,,,,,,drive,even sadder,reality,ready
802936763,false,finalized,8,10/8/2015 03:17:04,,,little details,0.8778,my least favorite,0.6385,9/25/2015 13:39:10,,796448690,9/29/2015 02:34:37,,,,,,,my least favorite,bug,a little overboard,little details
802936764,false,finalized,8,10/7/2015 04:31:08,,,mean a lottttt,0.8735,nasty hot,0.4966,9/25/2015 13:39:10,,796448691,9/29/2015 02:34:37,,,,,,,freaking,nasty hot,mean a lottttt,working out alone
802936765,false,finalized,8,10/7/2015 17:31:50,,,new spot,0.6347,i need holiday,0.4913,9/25/2015 13:39:10,,796448692,9/29/2015 02:34:37,,,,,,,new spot,coffee,need patience,i need holiday
802936766,false,finalized,8,10/7/2015 20:09:36,,,young blood,0.3762,jealous,0.8698,9/25/2015 13:39:10,,796448693,9/29/2015 02:34:37,,,,,,,jealous,young blood,completely missed,sensitive
802936767,false,finalized,8,10/8/2015 14:08:28,,,time,0.5084,ass,0.7511,9/25/2015 13:39:10,,796448694,9/29/2015 02:34:37,,,,,,,dark,ass,time,football addict
802936768,false,finalized,8,10/7/2015 17:40:33,,,busy working,0.6267,sour,0.6263,9/25/2015 13:39:10,,796448695,9/29/2015 02:34:37,,,,,,,busy working,leave,goes too fast,sour
802936769,false,finalized,8,10/7/2015 03:59:47,,,rising,0.6237,need tips,1.0,9/25/2015 13:39:10,,796448696,9/29/2015 02:34:37,,,,,,,sigh of relief,some serious shopping,need tips,rising
802936770,false,finalized,8,10/7/2015 12:23:30,,,deep love,0.6323,loss,0.8756,9/25/2015 13:39:10,,796448697,9/29/2015 02:34:37,,,,,,,hot mess,deep love,loss,family
802936771,false,finalized,8,10/8/2015 00:47:31,,,bright spot,0.7508,crack,1.0,9/25/2015 13:39:10,,796448698,9/29/2015 02:34:37,,,,,,,sleep,winter,bright spot,crack
802936772,false,finalized,8,10/7/2015 20:09:36,,,love u sososo,0.507,constant pain,1.0,9/25/2015 13:39:10,,796448699,9/29/2015 02:34:37,,,,,,,extremely well,love u sososo,constant pain,birthday
802936773,false,finalized,8,10/7/2015 17:30:00,,,cant stop smiling,1.0,dreams are crushed,0.8787,9/25/2015 13:39:10,,796448700,9/29/2015 02:34:37,,,,,,,will miss u,it isn't pretty,dreams are crushed,cant stop smiling
802936774,false,finalized,8,10/7/2015 17:40:16,,,wonderful break,1.0,curse,1.0,9/25/2015 13:39:10,,796448701,9/29/2015 02:34:37,,,,,,,wonderful break,curse,nap,new crush
802936775,false,finalized,8,10/7/2015 23:59:59,,,daughter,0.7654,serve,0.7577,9/25/2015 13:39:10,,796448702,9/29/2015 19:03:19,,,,,,,years,serve,lovely shot,daughter
802936776,false,finalized,8,10/8/2015 00:04:23,,,love the smell,1.0,credit card bills,0.7297,9/25/2015 13:39:10,,796448703,9/29/2015 02:34:37,,,,,,,love the smell,effort,credit card bills,dust
802936777,false,finalized,8,10/7/2015 23:25:18,,,kind words,0.639,lazy,1.0,9/25/2015 13:39:10,,796448704,9/29/2015 02:34:37,,,,,,,relaxed,finally stopped raining,lazy,kind words
802936778,false,finalized,8,10/8/2015 03:20:20,,,bar exam passers,0.7493,split personality,1.0,9/25/2015 13:39:10,,796448705,9/29/2015 02:34:37,,,,,,,split personality,feedback,back,bar exam passers
802936779,false,finalized,8,10/8/2015 13:04:38,,,relax,1.0,sad day indeed,1.0,9/25/2015 13:39:10,,796448706,9/29/2015 02:34:37,,,,,,,relax,sad day indeed,fair warning,wild
802936780,false,finalized,8,10/7/2015 17:49:23,,,dinner,0.4919,shameless self promotion,1.0,9/25/2015 13:39:10,,796448707,9/29/2015 02:34:37,,,,,,,boy,shameless self promotion,dinner,specific
802936781,false,finalized,8,10/8/2015 04:27:26,,,eat,0.7451,major headache,1.0,9/25/2015 13:39:10,,796448708,9/29/2015 02:34:37,,,,,,,eat,wisdom tooth,major headache,tweeting
